"id_mandato","cargo","sg_uf","ano_eleicao","nome_tse","forma_saida","data_evento","precisao_data","assumiu","fonte_1","trecho_1","fonte_2","trecho_2","confianca","observacao"
"M2018_AP_4_12_30000613619","VICE-GOVERNADOR","AP","2018","JAIME DOMINGUEZ NUNES","fim_regular","2022-12-31","convencional","Antônio Teles Júnior, vice eleito em 2022, empossado em 2023-01-01","https://g1.globo.com/ap/amapa/noticia/2023/01/01/clecio-luis-toma-posse-para-o-1o-mandato-como-governador-do-amapa.ghtml","Clécio Luís (Solidariedade), de 50 anos, tomou posse na madrugada deste domingo (1º) como governador do Estado do Amapá [...] Além dele, também foi empossado o vice-governador Antônio Teles Júnior (PDT).","https://www.cnnbrasil.com.br/politica/pesquisa-ipec-governo-do-amapa-clecio-luis-tem-41-jaime-nunes-35/","mostra o ex-prefeito de Macapá Clécio Luís (Solidariedade), com 41%, e o vice-governador do estado Jaime Nunes (PSD), com 35%. O primeiro turno está marcado para 2 de outubro.","media","Nenhuma fonte encontrada registra saída antecipada. Jaime Nunes ainda era vice-governador em agosto de 2022, quando disputava o governo pelo PSD (candidatura de vice ao cargo de titular, que não exige renúncia), e o sucessor tomou posse em 01/01/2023. O G1 registra que Waldez Góes era 'o governador até então em exercício' na posse, de modo que Jaime não assumiu a titularidade. Nenhuma fonte afirma literalmente a conclusão do mandato de vice, daí confiança média. Data mantida como fim convencional do banco (mandato_fim)."
"M1998_BA_3_25_500000503000251","GOVERNADOR","BA","1998","CÉSAR AUGUSTO RABELLO BORGES","renuncia","2002-04-05","ato","Otto Alencar (vice-governador)","https://www.al.ba.gov.br/deputados/ex-deputado-estadual/5000455","vice-governador, 01/01/1999 - 05/04/2002; governador da Bahia de 06/04 a 31/12/2002","https://www1.folha.uol.com.br/folha/brasil/ult96u31011.shtml","Hoje é o último dia útil para os governadores que desejam se candidatar na eleição de outubro deixarem os cargos que ocupam. [...] Veja quem deixa o cargo: [...] Bahia - César Borges (PFL) É candidato ao Senado","media","Renúncia para disputar o Senado. Forma confirmada por várias fontes (Folha Online 05/04/2002; CPDOC/FGV, verbete cesar-augusto-rabelo-borges: 'renunciou em 2002'; A Tarde: 'deixou o mandato em abril de 2002'). O dia não aparece em notícia datada: a ficha oficial de Otto Alencar na ALBA encerra a vice-governadoria em 05/04/2002 e inicia o governo em 06/04/2002, e fim_wp dá 2002-04-05. Fico com 05/04/2002 (último dia útil do prazo, segundo a Folha), mas a data pode ser 06/04. A ficha de César Borges na própria ALBA diz 'renunciou em dez. 2002', erro evidente diante das demais fontes."
"M1998_BA_4_221_500000504002211","VICE-GOVERNADOR","BA","1998","OTTO ROBERTO MENDONCA DE ALENCAR","assumiu_titular","2002-04-06","ato","","https://www.al.ba.gov.br/deputados/ex-deputado-estadual/5000455","vice-governador, 01/01/1999 - 05/04/2002; governador da Bahia de 06/04 a 31/12/2002","https://politicaaovivo.com/agora-com-rui-costa-bahia-tem-oito-ex-governadores-vivos-relembre/","Ocupou o cargo de vice-governador de 1999 até abril de 2002, quando assumiu o governo após a renúncia de César Borges, que se candidatou ao Senado.","media","Data da posse como governador segundo a ficha oficial da ALBA (06/04/2002); fim_wp e a Wikipédia dão 05/04/2002. A segunda fonte e o site do próprio Otto Alencar ('Em 2002, assumiu o governo no período de abril a dezembro daquele ano') confirmam só o mês. Divergência de um dia não resolvida por notícia datada."
"M1998_CE_3_45_600000603000451","GOVERNADOR","CE","1998","TASSO RIBEIRO JEREISSATI","renuncia","2002-04-05","ato","Beni Veras (Benedito Clayton Veras Alcântara, vice-governador)","https://diariodonordeste.verdesmares.com.br/opiniao/colunistas/inacio-aguiar/apos-20-anos-ceara-volta-a-ter-renuncia-de-um-governador-veja-como-e-a-transmissao-do-cargo-1.3212079","Naquele ano, no dia 5 de abril, o gabinete do então governador enviou à Assembleia Legislativa do Estado um termo de transmissão do Cargo [...] Após a renúncia de Tasso Jereissati assumiu o cargo o então vice-governador","https://www1.folha.uol.com.br/fsp/brasil/fc0704200202.htm","Anteontem, o governador Tasso Jereissati (PSDB), preterido pelo partido em favor do senador José Serra na disputa presidencial, renunciou ao cargo para disputar uma vaga ao Senado.","alta","A Folha é de 07/04/2002, logo 'anteontem' = 05/04/2002. fim_wp (2002-04-06) diverge em um dia das fontes; fico com 05/04/2002. Renúncia para disputar o Senado. Não localizei ato no Diário Oficial ou página da Assembleia."
"M2018_CE_3_13_60000610979","GOVERNADOR","CE","2018","CAMILO SOBREIRA DE SANTANA","renuncia","2022-04-02","ato","Izolda Cela (vice-governadora)","https://www.fortaleza.ce.gov.br/noticias/primeira-mulher-governadora-efetiva-do-ceara-izolda-cela-toma-posse-neste-sabado-02-04","Na ocasião, também foi lida a carta de renúncia do ex-governador Camilo Santana, marcando a descompatibilização do gestor. Na sequência, houve a cerimônia de transmissão do cargo de Camilo Santana para Izolda Cela, no Palácio da Abolição.","https://g1.globo.com/ce/ceara/eleicoes/2022/noticia/2022/04/02/posse-de-izolda-cela-no-ceara.ghtml","A ex-vice-governadora do Ceará, Izolda Cela (PDT), tomou posse como chefe do Executivo em sessão solene na Assembleia Legislativa na tarde deste sábado (2) . Ela assumiu após a renúncia do ex-governador Camilo Santana (PT).","alta","Carta de renúncia lida em sessão extraordinária da Assembleia Legislativa do Ceará em 02/04/2022, por volta das 16h15, seguida da posse de Izolda Cela (G1). Renúncia para disputar o Senado. Não localizei página oficial do governo ou da Assembleia com a notícia. Fonte_1 atualizada em 21/09/2026 para noticia publicada por orgao publico, apos conferir o trecho no documento baixado; a fonte de imprensa que estava em fonte_1 passa a fonte_2, como pista."
"M1998_CE_4_451_600000604004511","VICE-GOVERNADOR","CE","1998","BENEDITO CLAYTON VERAS ALCÂNTARA","assumiu_titular","2002-04-05","ato","","https://diariodonordeste.verdesmares.com.br/opiniao/colunistas/inacio-aguiar/apos-20-anos-ceara-volta-a-ter-renuncia-de-um-governador-veja-como-e-a-transmissao-do-cargo-1.3212079","Naquele ano, no dia 5 de abril, o gabinete do então governador enviou à Assembleia Legislativa do Estado um termo de transmissão do Cargo [...] Após a renúncia de Tasso Jereissati assumiu o cargo o então vice-governador","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/veras-beni","Em abril de 2002 tornou-se governador do estado, em virtude da renúncia de Jereissati, que se afastou do cargo para concorrer às eleições ao Senado Federal.","alta","CPDOC/FGV dá só o mês; a data exata vem do Diário do Nordeste e é corroborada pela Folha de 07/04/2002 ('anteontem' Tasso renunciou). Segundo o CPDOC, Beni Veras transmitiu o governo a Lúcio Alcântara em janeiro de 2003."
"M2018_CE_4_13_60000610980","VICE-GOVERNADOR","CE","2018","MARIA IZOLDA CELA DE ARRUDA COELHO","assumiu_titular","2022-04-02","ato","","https://www.fortaleza.ce.gov.br/noticias/primeira-mulher-governadora-efetiva-do-ceara-izolda-cela-toma-posse-neste-sabado-02-04","Na ocasião, também foi lida a carta de renúncia do ex-governador Camilo Santana, marcando a descompatibilização do gestor. Na sequência, houve a cerimônia de transmissão do cargo de Camilo Santana para Izolda Cela, no Palácio da Abolição.","https://g1.globo.com/ce/ceara/eleicoes/2022/noticia/2022/04/02/posse-de-izolda-cela-no-ceara.ghtml","A ex-vice-governadora do Ceará, Izolda Cela (PDT), tomou posse como chefe do Executivo em sessão solene na Assembleia Legislativa na tarde deste sábado (2) .","alta","As duas matérias são do g1 CE; o Diário do Nordeste de 02/04/2022 (coluna de Inácio Aguiar) confirma de forma independente a posse marcada para esse dia. Fonte_1 atualizada em 21/09/2026 para noticia publicada por orgao publico, apos conferir o trecho no documento baixado; a fonte de imprensa que estava em fonte_1 passa a fonte_2, como pista."
"M2002_DF_3_15_512","GOVERNADOR","DF","2002","JOAQUIM DOMINGOS RORIZ","renuncia","2006-03-31","ato","Maria de Lourdes Abadia","https://goias.gov.br/vicegovernadoria/joaquim-domingos-roriz/","Renunciou em março de 2006, desincompatibilizando-se e lançou-se candidato senador pelo Distrito Federal na legenda do PMDB. Em seu lugar no governo foi empossada a vice, Maria de Lourdes Abadia.","https://www.psdb.org.br/acompanhe/noticias/abadia-assume-o-governo-do-distrito-federal/","Notícias - 31/03/2006 Brasília (31 de março) – A presidente do PSDB Mulher, Maria de Loudes Abadia , assumiu nesta sexta-feira o governo do Distrito Federal, no lugar de Joaquim Roriz (PMDB).","alta","Renúncia para desincompatibilização (candidatura ao Senado). Fonte_1 (site do governo de Goiás, página biográfica da Vice-Governadoria) dá só o mês; o dia 31/03/2006 vem do PSDB (partido de Abadia, fonte não neutra) e é corroborado por Bernadete Alves (https://bernadetealves.com/2023/10/23/abadia-primeira-mulher-a-governar-brasilia-toma-posse-como-academica-no-ihg-df/: 'tomado posse como governadora em 31 de março de 2006'). Não localizei ato no DODF nem na CLDF."
"M2006_DF_3_25_10382","GOVERNADOR","DF","2006","JOSÉ ROBERTO ARRUDA","cassacao","2010-03-16","ato","Wilson Lima (presidente da CLDF, interino); depois Rogério Rosso (eleição indireta, posse 2010-04-19)","https://www.tre-df.jus.br/jurisprudencia/informativo-tematico/perda-de-mandato-eletivo-por-infidelidade-partidaria","Pedido julgado procedente, decretada a perda do direito do requerido de exercer o mandato de Governador do Distrito Federal. (Petição nº 335-69, Acórdão nº 2885, de 16/03/2010","https://www.cl.df.gov.br/-/camara-e-notificada-sobre-cassacao-de-arruda-pelo-tre","Publicado em 18/03/2010 [...] a decisão do tribunal de cassar o mandato de governador de José Roberto Arruda, por infidelidade partidária. A decisão judicial foi tomada na última terça-feira (16)","alta","Perda do mandato por infidelidade partidária (desfiliação do DEM), acórdão TRE-DF 2885 de 16/03/2010, publicado no DJE em 18/03/2010. Antes disso houve afastamento: em 11/02/2010 o STJ decretou a prisão preventiva de Arruda, que pediu afastamento do cargo à CLDF no mesmo dia (https://www.cl.df.gov.br/-/apos-decretacao-de-prisao-arruda-pede-afastamento); Paulo Octávio exerceu interinamente e renunciou em 23/02/2010, e Wilson Lima (presidente da CLDF) assumiu interinamente. Rogério Rosso foi eleito indiretamente em 17/04/2010 e empossado em 19/04/2010 (CLDF, https://www.cl.df.gov.br/-/governador-e-vice-governadora-do-df-tomam-posse). Congresso em Foco (16/3/2010) confirma. Não verifiquei desfecho de eventual recurso ao TSE, mas a sucessão indireta se consumou. fim_wp coincide com a fonte."
"M2022_DF_3_15_70001651044","GOVERNADOR","DF","2022","IBANEIS ROCHA BARROS JÚNIOR","renuncia","2026-03-28","ato","Celina Leão","https://www.cl.df.gov.br/-/celina-leao-toma-posse-como-governadora-do-distrito-federal","Publicado em 30/03/2026 [...] Celina tomou posse após o governador Ibaneis Rocha renunciar ao cargo, no sábado (28), a fim de cumprir o prazo de desincompatibilização exigido pela legislação eleitoral","https://www.correiobraziliense.com.br/cidades-df/2026/03/7386160-eleicoes-ibaneis-rocha-deixa-o-governo-do-df-para-concorrer-ao-senado.html","o governador do Distrito Federal, Ibaneis Rocha (MDB), formalizou, nesse sábado (28/3), sua saída do cargo para se desincompatibilizar e concorrer a uma vaga ao Senado.","alta","Renúncia para disputar o Senado, formalizada por mensagem à CLDF no sábado 28/03/2026; Celina Leão tomou posse na CLDF em 30/03/2026. fim_wp (2026-03-30) é a data da posse da sucessora, 2 dias após a renúncia. Mandato marcado em_curso=TRUE no insumo, mas houve saída antecipada. A CLDF registra que Celina cumpre mandato até 6 de janeiro de 2027."
"M2002_DF_4_15_1594","VICE-GOVERNADOR","DF","2002","MARIA DE LOURDES ABADIA","assumiu_titular","2006-03-31","ato","","https://www.psdb.org.br/acompanhe/noticias/abadia-assume-o-governo-do-distrito-federal/","Notícias - 31/03/2006 Brasília (31 de março) – A presidente do PSDB Mulher, Maria de Loudes Abadia , assumiu nesta sexta-feira o governo do Distrito Federal, no lugar de Joaquim Roriz (PMDB).","https://bernadetealves.com/2023/10/23/abadia-primeira-mulher-a-governar-brasilia-toma-posse-como-academica-no-ihg-df/","Em 2002, foi eleita vice-governadora do Distrito Federal, tendo tomado posse como governadora em 31 de março de 2006, após o afastamento do governador Joaquim Roriz, que se desincompatibilizou para disputar uma vaga no Senado.","alta","Assumiu o governo em definitivo com a renúncia de Roriz (março de 2006); segundo o Metrópoles (https://www.metropoles.com/janela-indiscreta/aos-77-anos-unica-governadora-do-df-avalia-disputar-mais-uma-eleicao), 'Tentou se manter no cargo, mas foi derrotada'. O site do governo de Goiás (https://goias.gov.br/vicegovernadoria/joaquim-domingos-roriz/) confirma que 'foi empossada a vice, Maria de Lourdes Abadia', sem dia. Fontes são de partido (PSDB) e de blog jornalístico de Brasília; não localizei DODF nem CLDF. O cargo de vice ficou vago; sucessor_wp (Paulo Octávio, 2007) é o vice do mandato seguinte."
"M2006_DF_4_25_10383","VICE-GOVERNADOR","DF","2006","PAULO OCTÁVIO ALVES PEREIRA","renuncia","2010-02-23","ato","Wilson Lima (presidente da CLDF, exercício interino do governo); vaga de vice preenchida por Ivelise Longhi (eleição indireta, posse 2010-04-19)","https://www.cl.df.gov.br/-/paulo-octavio-renuncia-em-carta-enviada-a-camara-legislativa","Publicado em 23/02/2010 19h11 Em carta enviada à Câmara Legislativa, o vice-governador Paulo Octávio (sem partido) renunciou oficialmente na tarde desta terça-feira (23), afastando-se do cargo de governador interino","https://www.conjur.com.br/2010-fev-23/paulo-octavio-renuncia-cargo-governador-exercicio-df/","Brasília, 23 de fevereiro de 2010 [...] comunico ao Presidente da Câmara Legislativa minha renúncia ao cargo de Vice-Governador do Distrito Federal.","alta","forma_atual (assumiu_titular) está incorreta. Paulo Octávio exerceu o governo apenas interinamente, com Arruda preso e afastado ('O titular está privado de sua liberdade, por decisão judicial. No entanto, continua a ser o governador', diz a carta), e renunciou ao mandato de vice em 23/02/2010. fim_wp (2010-02-11) marca o início do exercício interino, após a prisão de Arruda decretada pelo STJ (CLDF, https://www.cl.df.gov.br/-/apos-decretacao-de-prisao-arruda-pede-afastamento), e não o fim do mandato de vice. Wilson Lima assumiu interinamente (CLDF, https://www.cl.df.gov.br/-/wilson-lima-assume-o-governo-do-distrito-federal). Ivelise Longhi foi eleita vice indiretamente em 17/04/2010 e empossada em 19/04/2010 (CLDF)."
"M2022_DF_4_15_70001651045","VICE-GOVERNADOR","DF","2022","CELINA LEÃO HIZIM FERREIRA","assumiu_titular","2026-03-30","ato","","https://www.cl.df.gov.br/-/celina-leao-toma-posse-como-governadora-do-distrito-federal","Publicado em 30/03/2026 13h05 [...] Em solenidade realizada na Câmara Legislativa, Celina Leão assumiu o Governo do Distrito Federal nesta segunda‑feira (30)","https://jornaldebrasilia.com.br/brasilia/celina-leao-assume-governo-do-df-apos-renuncia-de-ibaneis-rocha/","A vice-governadora Celina Leão assumiu o cargo de governadora do Distrito Federal nesta segunda-feira, 30 de março, durante sessão solene na Câmara Legislativa do DF.","alta","Posse como governadora na CLDF em 30/03/2026, após a renúncia de Ibaneis Rocha em 28/03/2026 (sábado). Segundo o Correio Braziliense (29/03/2026), Ibaneis passou o bastão em cerimônia no Buriti no dia 28, mas a posse formal ocorreu na CLDF no dia 30. O cargo de vice fica vago. Mandato de 2022 (em_curso=TRUE) em que a vice sucedeu em definitivo."
"M2022_ES_3_40_80001649123","GOVERNADOR","ES","2022","JOSÉ RENATO CASAGRANDE","renuncia","2026-04-02","ato","Ricardo de Rezende Ferraço","https://www.agazeta.com.br/es/politica/ricardo-ferraco-toma-posse-como-governador-do-espirito-santo-0426","na tarde desta quinta-feira (2), Ricardo Ferraço (MDB) tomou posse como governador do Espírito Santo, em substituição a Renato Casagrande (PSB), que renunciou ao cargo para concorrer às eleições deste ano, em busca de vaga no Senado.","https://www.montanhascapixabas.com.br/assembleia-legislativa-admite-renuncia-do-governador-renato-casagrande/","a Assembleia Legislativa (Ales) admitiu a carta de renúncia enviada pelo governador Renato Casagrande (PSB). Datada de 30 de março, o chefe do Executivo estadual comunica que deixará o Palácio Anchieta nesta quinta-feira (2)","alta","Renúncia para disputar o Senado (desincompatibilização). Carta datada de 30/03/2026, lida e admitida pela Ales em 01/04/2026, com efeito em 02/04/2026, dia da posse de Ricardo Ferraço. data_evento = data de efeito. fim_wp (2026-04-01) coincide com a leitura na Ales, um dia antes do efeito. Os portais da Ales e do governo do ES estão com conteúdo suspenso pelo período eleitoral e não puderam ser lidos, por isso as duas fontes são imprensa (A Gazeta e Montanhas Capixabas, notícia de 02/04/2026)."
"M2002_ES_4_40_148","VICE-GOVERNADOR","ES","2002","WELINGTON COIMBRA","fim_regular","2006-12-31","convencional","","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/coimbra-lelo","Em 2003, já filiado ao Partido Socialista Brasileiro (PSB), tornou-se Vice-Governador do Espírito Santo, no primeiro governo Paulo Hartung (2003-2007), além de Secretário-Chefe da Casa Civil.","https://eshoje.com.br/politica/2026/02/mdb-consolida-comando-e-blinda-caminho-de-ricardo-para-2026/","A Executiva também reúne três ex-vice-governadores de Paulo Hartung: Lelo Coimbra (2003–2006), Ricardo Ferraço (2007–2010) e César Colnago (2015–2018).","media","Welington Coimbra (Lelo Coimbra). Nenhuma fonte encontrada registra renúncia ou afastamento da vice-governadoria. As duas fontes dão o período 2003-2006/2007 sem data de término explícita, por isso a confiança é média. Foi eleito deputado federal em 2006 sem precisar deixar a vice, porque vice não se desincompatibiliza para concorrer, e em 2006 deixou apenas a Secretaria de Educação, que acumulava (CPDOC). A biografia da Câmara (camara.leg.br/deputados/141562/biografia) registra só 'Vice-Governador(a), ES, Partido: PSB, Período: 2003'. Sucessor na vice, Ricardo Ferraço, a partir de 01/01/2007."
"M2014_ES_4_15_80000000428","VICE-GOVERNADOR","ES","2014","CÉSAR ROBERTO COLNAGHI","fim_regular","2018-12-31","convencional","","https://emdiaes.com.br/politica/cesar-colnago-retorna-ao-palacio-anchieta-para-integrar-equipe-de-ricardo-ferraco/","Entre 2015 e 2018, exerceu o cargo de vice-governador, na gestão de Paulo Hartung (PSD).","https://eshoje.com.br/politica/2026/02/mdb-consolida-comando-e-blinda-caminho-de-ricardo-para-2026/","A Executiva também reúne três ex-vice-governadores de Paulo Hartung: Lelo Coimbra (2003–2006), Ricardo Ferraço (2007–2010) e César Colnago (2015–2018).","media","César Roberto Colnaghi (César Colnago). Nenhuma fonte encontrada registra renúncia ou afastamento da vice-governadoria. As duas fontes (imprensa, 2025 e 2026) dão o período 2015-2018 sem data de término explícita, por isso a confiança é média. A biografia da Câmara (camara.leg.br/deputados/160664/biografia) registra que renunciou ao mandato de deputado federal para assumir a vice em 30/12/2014. Vice não precisa se desincompatibilizar para disputar eleição, e não localizei notícia de saída antecipada em 2018."
"M2022_ES_4_40_80001649124","VICE-GOVERNADOR","ES","2022","RICARDO DE REZENDE FERRAÇO","assumiu_titular","2026-04-02","ato","","https://www.agazeta.com.br/es/politica/ricardo-ferraco-toma-posse-como-governador-do-espirito-santo-0426","na tarde desta quinta-feira (2), Ricardo Ferraço (MDB) tomou posse como governador do Espírito Santo, em substituição a Renato Casagrande (PSB), que renunciou ao cargo para concorrer às eleições deste ano, em busca de vaga no Senado.","https://emdiaes.com.br/politica/ricardo-ferraco-toma-posse-como-governador-do-espirito-santo-apos-renuncia-de-casagrande/","Ricardo Ferraço (MDB) assumiu o cargo de governador do Estado do Espírito Santo na tarde desta quinta-feira, 2 de abril de 2026. A posse foi oficializada durante uma sessão solene na Assembleia Legislativa (Ales)","alta","Assumiu o governo em definitivo com a renúncia de Renato Casagrande (carta de 30/03/2026, lida na Ales em 01/04/2026, efeito em 02/04/2026). Cargo de vice-governador vago a partir de 02/04/2026. fim_wp (2026-03-02) coincide com o dia em que Casagrande anunciou a saída, um mês antes da posse. Portais da Ales e do governo do ES com conteúdo suspenso no período eleitoral, por isso as fontes são imprensa."
"M2002_GO_3_45_406","GOVERNADOR","GO","2002","MARCONI FERREIRA PERILLO JUNIOR","renuncia","2006-03-31","ato","Alcides Rodrigues","https://portal.al.go.leg.br/deputados/perfil-biografico/435","Reeleito Governador do Estado de Goiás, em 2002. Mandato janeiro/2003 a dezembro/2007, desincompatibilizou-se em abril/2006. Eleito Senador, PSDB, em 1º de outubro de 2006.","https://jotacidade.com/noticias/alcides-rodrigues-eu-fiz-um-grande-esforco-para-solucionar-anseios-e-aspiracoes-do-povo-goiano/","Governador de Goiás entre 31 de março e 31 de dezembro de 2006 e de 1º de janeiro de 2007 a 31 de dezembro de 2010, doutor Alcides Rodrigues (PRP)","media","Forma (renúncia para disputar o Senado) é certa, mas o dia diverge. O perfil da Alego e o verbete do CPDOC sobre Alcides Rodrigues (https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/rodrigues-alcides) dizem 'abril de 2006'; o Jornal Cidade dá 31/03/2006, igual a fim_wp. A legislação estadual delimita a troca entre 30/03 e 03/04/2006: a Lei 15.637, de 30/03/2006, foi assinada por Marconi Perillo (https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/79679) e o Decreto 6.433, de 03/04/2006, por Alcides Rodrigues (https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/60653). Mantive 31/03/2006 por ser a única data exata encontrada; não localizei o ato de renúncia nem notícia contemporânea (a Alego não tem notícias de 2006 no portal). O perfil da Alego contém erro no fim do mandato ('dezembro/2007')."
"M2014_GO_3_45_90000000637","GOVERNADOR","GO","2014","MARCONI FERREIRA PERILLO JUNIOR","renuncia","2018-04-06","ato","José Eliton","https://portal.al.go.leg.br/noticias/92968/renuncia-de-marconi-perillo","06 de Abril de 2018 às 20:28 [...] Em sessão extraordinária na Assembleia, presidida por José Vitti, na noite dessa sexta-feira, 6, foi lido comunicado no qual Marconi Perillo renunciou ao cargo de Governador do Estado de Goiás.","https://www.jornalopcao.com.br/ultimas-noticias/governador-com-mais-tempo-no-cargo-marconi-renuncia-neste-sabado-7-121727/","Marconi assinou o termo de renúncia, se desincompatibilizando do cargo, no Palácio das Esmeraldas. [...] Nesta sexta-feira (6), último dia de seus quatro mandatos","alta","Renúncia para desincompatibilização (eleições de 2018), assinada e lida na Alego na sexta-feira 06/04/2018. José Eliton tomou posse na Alego no sábado 07/04/2018 (https://portal.al.go.leg.br/noticias/92976). fim_wp (2018-04-07) é a data da posse do sucessor; o título do Jornal Opção ('renuncia neste sábado (7)') também diverge do corpo da própria matéria, que situa a assinatura na sexta-feira 6."
"M2022_GO_3_44_90001646326","GOVERNADOR","GO","2022","RONALDO RAMOS CAIADO","renuncia","2026-03-31","ato","Daniel Vilela","https://portal.al.go.leg.br/noticias/163542","31 de Março de 2026 às 17:20 [...] o emedebista substituiu definitivamente o então governador Ronaldo Caiado (PSD), que se afastou da gestão para disputar a Presidência da República nas eleições deste ano.","https://g1.globo.com/go/goias/eleicoes/2026/noticia/2026/03/31/ronaldo-caiado-deixa-governo-e-transfere-cargo-a-daniel-vilela.ghtml","Ronaldo Caiado deixou o Governo de Goiás nesta terça-feira (31). Em cerimônia na Assembleia Legislativa de Goiás (Alego), em Goiânia, Daniel Vilela (MDB), que era vice de Caiado, assumiu como novo governador.","alta","Renúncia para desincompatibilização (pré-candidatura à Presidência pelo PSD). A agenda da Alego (https://portal.al.go.leg.br/noticias/163462, 30/03/2026) previa que Caiado fizesse 'a entrega formal da carta de renúncia ao presidente da Assembleia Legislativa' na sessão de 31/03/2026, seguida da posse de Vilela. Mandato marcado em_curso=TRUE no insumo, mas houve saída antecipada. fim_wp coincide."
"M2002_GO_4_45_336","VICE-GOVERNADOR","GO","2002","ALCIDES RODRIGUES FILHO","assumiu_titular","2006-03-31","ato","","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/rodrigues-alcides","Assumiu o as funções de governador em abril de 2006 quando Marconi Perillo renunciou para disputar o mandato de senador.","https://jotacidade.com/noticias/alcides-rodrigues-eu-fiz-um-grande-esforco-para-solucionar-anseios-e-aspiracoes-do-povo-goiano/","Governador de Goiás entre 31 de março e 31 de dezembro de 2006 e de 1º de janeiro de 2007 a 31 de dezembro de 2010, doutor Alcides Rodrigues (PRP)","media","Sucessão definitiva certa; dia divergente. CPDOC e perfil da Alego sobre Marconi (https://portal.al.go.leg.br/deputados/perfil-biografico/435) dão 'abril de 2006'; Jornal Cidade e fim_wp dão 31/03/2006. Decreto estadual 6.433, de 03/04/2006, já é assinado por 'ALCIDES RODRIGUES FILHO' como governador (https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/60653), e a Lei 15.637, de 30/03/2006, ainda por Marconi Perillo (https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/79679); a posse ocorreu, portanto, entre 30/03 e 03/04/2006. Reeleito em 2006. O cargo de vice ficou vago; sucessor_wp (Ademir Meneses, 2007) é o vice do mandato seguinte."
"M2006_GO_4_11_10093","VICE-GOVERNADOR","GO","2006","ADEMIR DE OLIVEIRA MENEZES","fim_regular","2010-12-31","convencional","","https://goias.gov.br/vicegovernadoria/galeria-de-vice-governadores-de-goias/","Lincoln Tejota 2019 – Atual José Eliton 2011 a 2018 Ademir Menezes 2007 a 2011 Alcides Rodrigues 1999 a 2006","https://portal.al.go.leg.br/noticias/37526","30 de Dezembro de 2010 às 12:44 A transmissão de cargo para o novo governador será feita pelo vice-governador, Ademir Menezes. A solenidade acontece no Palácio das Esmeraldas, às 12.30h.","alta","Sem par na lista da Wikipédia de governadores (motivo do caso), mas a galeria oficial da Vice-Governadoria de Goiás o registra como vice de 2007 a 2011, e a Alego mostra que ele ainda era vice-governador na véspera do fim do mandato, encarregado da transmissão do cargo a Marconi Perillo em 01/01/2011. José Eliton tomou posse como vice em 01/01/2011 (https://portal.al.go.leg.br/noticias/37558). Nome grafado Meneses na galeria individual (https://goias.gov.br/vicegovernadoria/ademir-de-oliveira-meneses/) e Menezes no TSE e na Alego."
"M2014_GO_4_45_90000000638","VICE-GOVERNADOR","GO","2014","JOSÉ ELITON DE FIGUEREDO JUNIOR","assumiu_titular","2018-04-07","ato","","https://portal.al.go.leg.br/noticias/92976","José Eliton é declarado Governador após compromisso de posse 07 de Abril de 2018 às 10:34 [...] acabou de declarar empossado Governador do Estado de Goiás o advogado José Eliton de Figuerêdo Júnior após a leitura do compromisso de posse.","https://www.jornalopcao.com.br/ultimas-noticias/governador-com-mais-tempo-no-cargo-marconi-renuncia-neste-sabado-7-121727/","A missão de guiar nosso Estado, a partir de amanhã, é do governador José Eliton.","alta","Assumiu em definitivo com a renúncia de Marconi Perillo, lida na Alego em 06/04/2018; posse na Alego em 07/04/2018 (a notícia da renúncia, https://portal.al.go.leg.br/noticias/92968/renuncia-de-marconi-perillo, já anunciava a solenidade para as 10 horas do sábado 7). O Jornal Opção afirma que Eliton 'é o governador de Goiás a partir de então', isto é, desde a assinatura em 06/04. fim_wp (2018-04-06) coincide com a renúncia do titular, um dia antes da posse. O cargo de vice ficou vago (sucessor_wp Lincoln Tejota é o vice do mandato seguinte, 2019)."
